origin,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,dep_delay,arr_delay
BUR,5.347152978220939,0.0,7.176594069797953,0.0,21.302414064549986,32.88598792967725,33.82616111256888
BWI,9.859159601916698,0.0,8.333136748986362,0.0,14.978768890527093,31.385772207887946,33.17106524143015
BZN,3.7316945606694563,0.0,13.825836820083682,0.0,16.25784518828452,24.805962343096233,33.81537656903766
CAE,6.08390332877337,0.0,10.225262197902417,0.0,18.03784769721842,29.734154126766985,34.34701322389421
CAK,6.288617886178862,0.0,12.858231707317072,0.0,15.252540650406504,26.753556910569106,34.39939024390244
CDC,0.2158273381294964,0.0,12.043165467625899,0.0,19.345323741007196,20.100719424460433,31.60431654676259
CDV,1.8486842105263157,0.0,8.980263157894736,0.0,22.07236842105263,25.92105263157895,32.901315789473685
CGI,3.76158940397351,0.0,11.245033112582782,0.0,19.741721854304636,26.158940397350992,34.74834437086093
CHA,4.201636188642926,0.0,10.356111645813282,0.0,21.015399422521657,31.14196342637151,35.57314725697786
CHO,4.241521068859198,0.0,10.977903391572456,0.0,20.578622816032887,30.11459403905447,35.798047276464544
CHS,5.015611140677666,0.0,11.100230619123648,0.0,19.34983147064041,32.02873869079298,35.46567323044172
CID,4.562679819153309,0.0,11.080969995889848,0.0,19.60090423345664,29.209617755856968,35.24455404849979
CIU,2.357142857142857,0.0,11.25,0.0,18.957142857142856,23.62857142857143,32.56428571428572
CKB,6.1395348837209305,0.0,11.546511627906977,0.0,16.66860465116279,26.656976744186046,34.354651162790695
CLE,5.33358843537415,0.0,13.019897959183673,0.0,16.079591836734693,28.910204081632653,34.43307823129252
CLL,1.9486486486486487,0.0,8.178378378378378,0.0,25.975675675675674,31.732432432432432,36.1027027027027
CLT,9.066186396123733,0.0,9.144152208818221,0.0,15.800673515495118,29.746593347258337,34.01101212043707
CMH,5.384927486187845,0.0,13.19587361878453,0.0,15.815089779005525,28.04368093922652,34.3958908839779
CMI,4.50693374422188,0.0,11.765793528505393,0.0,18.39753466872111,25.4884437596302,34.67026194144838
CMX,1.6923076923076923,0.0,10.972527472527473,0.0,25.46153846153846,30.03846153846154,38.12637362637363
CNY,0.6991869918699187,0.0,10.682926829268293,0.0,27.682926829268293,32.15447154471545,39.0650406504065
COD,3.060344827586207,0.0,11.448275862068966,0.0,19.82758620689655,24.50862068965517,34.33620689655172
COS,6.660582524271844,0.0,11.760776699029126,0.0,15.809708737864078,27.194174757281555,34.231067961165046
COU,4.135854341736695,0.0,13.180672268907562,0.0,18.016806722689076,24.84873949579832,35.333333333333336
CPR,3.2064676616915424,0.0,14.711442786069652,0.0,17.79353233830846,23.94776119402985,35.711442786069654
CRP,3.21,0.0,9.610833333333334,0.0,21.289166666666667,29.144166666666667,34.11
CRW,4.8192048012003,0.0,11.596399099774944,0.0,19.879969992498125,29.902475618904727,36.29557389347337
CSG,3.314814814814815,0.0,10.433333333333334,0.0,22.492592592592594,28.455555555555556,36.24074074074074
CVG,5.64807426105366,0.0,12.953912547838124,0.0,15.580490188095432,27.981109030209268,34.18247699698722
CWA,4.7595307917888565,0.0,11.039589442815249,0.0,21.26392961876833,29.99266862170088,37.06304985337243
CYS,6.864864864864865,0.0,13.35135135135135,0.0,23.10810810810811,33.58108108108108,43.32432432432432
DAB,5.7073170731707314,0.0,7.682926829268292,0.0,20.533333333333335,32.042276422764225,33.923577235772356
DAL,9.854609328705664,0.0,6.380216710403793,0.0,17.066579192415137,33.13904173368323,33.30140523152459
DAY,5.860055373772967,0.0,12.534356909136672,0.0,16.35338535112006,27.020387616410773,34.7477976340297
DBQ,2.7551020408163267,0.0,10.82857142857143,0.0,24.473469387755102,30.751020408163264,38.05714285714286
DCA,6.489173797012133,0.0,11.048944892288223,0.0,18.5038655184747,30.300107299089333,36.04198420777506
DEN,8.392319642080407,0.0,10.23959485490586,0.0,16.326502205928044,30.481352140682283,34.95841670291431
DFW,10.41461762747664,0.0,8.723064031039787,0.0,15.047569850999839,29.888973069770646,34.18525150951626
DHN,1.704968944099379,0.0,11.192546583850932,0.0,23.91304347826087,30.490683229813666,36.81055900621118
DIK,3.4907975460122698,0.0,13.779141104294478,0.0,16.171779141104295,21.226993865030675,33.441717791411044
DLG,9.466666666666667,0.0,4.133333333333334,0.0,18.8,29.933333333333334,32.4
DLH,2.7365771812080535,0.0,10.991610738255034,0.0,23.124161073825505,31.27181208053691,36.852348993288594
DRO,4.895277207392197,0.0,10.986652977412732,0.0,19.583162217659137,28.639630390143736,35.465092402464066
DRT,4.4363636363636365,0.0,8.327272727272728,0.0,21.072727272727274,32.69090909090909,33.836363636363636
DSM,4.355997931747673,0.0,12.47052740434333,0.0,17.279989658738366,26.688986556359875,34.10651499482937
DTW,7.560520946871245,0.0,12.171906877951987,0.0,12.996841899332047,27.102680193398733,32.72926972415528
DUT,9.80568720379147,0.0,1.3696682464454977,0.0,23.511848341232227,46.312796208530806,34.687203791469194
DVL,2.9761904761904763,0.0,15.166666666666666,0.0,16.761904761904763,19.30952380952381,34.904761904761905
EAR,2.7962962962962963,0.0,14.74074074074074,0.0,16.314814814814813,19.296296296296298,33.851851851851855
EAT,2.2081218274111674,0.0,15.535532994923859,0.0,16.01015228426396,28.390862944162436,33.753807106598984
EAU,2.683098591549296,0.0,13.704225352112676,0.0,20.246478873239436,25.97887323943662,36.63380281690141
ECP,4.881188118811881,0.0,8.18091809180918,0.0,21.2016201620162,31.742574257425744,34.263726372637265
EGE,4.508982035928144,0.0,12.703592814371257,0.0,19.26497005988024,29.856287425149702,36.47754491017964
EKO,1.619047619047619,0.0,10.166666666666666,0.0,19.214285714285715,21.976190476190474,31.0
ELM,5.0,0.0,12.704741379310345,0.0,16.575431034482758,26.86853448275862,34.2801724137931
ELP,6.282338902147972,0.0,7.799761336515513,0.0,20.08019093078759,32.082338902147974,34.16229116945107
ERI,3.3583815028901736,0.0,11.310211946050096,0.0,22.545279383429673,32.38728323699422,37.213872832369944
ESC,1.2916666666666667,0.0,7.944444444444445,0.0,30.07638888888889,35.604166666666664,39.3125
