dep_time,distance,actual_elapsed_time,flight_class_distance,flight_class_time,hour,minute,second
10:58:00,4502.0,564.0,long,long,10,58,00
10:05:00,3302.0,429.0,long,long,10,05,00
10:20:00,4184.0,543.0,long,long,10,20,00
10:55:00,3784.0,498.0,long,long,10,55,00
10:22:00,4184.0,556.0,long,long,10,22,00
10:15:00,4184.0,528.0,long,long,10,15,00
10:28:00,4983.0,674.0,long,long,10,28,00
10:22:00,4184.0,544.0,long,long,10,22,00
10:08:00,4983.0,689.0,long,long,10,08,00
10:16:00,4184.0,518.0,long,long,10,16,00
10:17:00,3784.0,485.0,long,long,10,17,00
10:20:00,4184.0,537.0,long,long,10,20,00
10:35:00,4502.0,559.0,long,long,10,35,00
10:00:00,4983.0,651.0,long,long,10,00,00
10:16:00,3904.0,476.0,long,long,10,16,00
10:07:00,4243.0,564.0,long,long,10,07,00
10:41:00,4243.0,555.0,long,long,10,41,00
10:35:00,4184.0,548.0,long,long,10,35,00
10:59:00,3724.0,505.0,long,long,10,59,00
10:19:00,4184.0,554.0,long,long,10,19,00
10:10:00,4243.0,541.0,long,long,10,10,00
10:28:00,4184.0,520.0,long,long,10,28,00
10:51:00,3784.0,529.0,long,long,10,51,00
10:19:00,4184.0,577.0,long,long,10,19,00
10:04:00,4983.0,652.0,long,long,10,04,00
10:10:00,3414.0,449.0,long,long,10,10,00
10:07:00,4184.0,625.0,long,long,10,07,00
10:25:00,4502.0,568.0,long,long,10,25,00
10:08:00,4243.0,567.0,long,long,10,08,00
10:58:00,4502.0,597.0,long,long,10,58,00
10:56:00,4502.0,593.0,long,long,10,56,00
10:14:00,4184.0,546.0,long,long,10,14,00
10:26:00,4243.0,563.0,long,long,10,26,00
10:02:00,3365.0,415.0,long,long,10,02,00
10:43:00,4983.0,665.0,long,long,10,43,00
10:05:00,3329.0,435.0,long,long,10,05,00
10:17:00,3904.0,478.0,long,long,10,17,00
10:40:00,4502.0,563.0,long,long,10,40,00
10:02:00,4983.0,623.0,long,long,10,02,00
10:36:00,4243.0,547.0,long,long,10,36,00
10:53:00,4502.0,540.0,long,long,10,53,00
10:57:00,4243.0,530.0,long,long,10,57,00
10:16:00,4817.0,621.0,long,long,10,16,00
10:01:00,4243.0,540.0,long,long,10,01,00
10:14:00,4243.0,568.0,long,long,10,14,00
10:53:00,4502.0,640.0,long,long,10,53,00
10:40:00,4184.0,533.0,long,long,10,40,00
10:05:00,3904.0,475.0,long,long,10,05,00
10:08:00,3904.0,551.0,long,long,10,08,00
10:39:00,4243.0,541.0,long,long,10,39,00
10:15:00,4243.0,530.0,long,long,10,15,00
10:06:00,3784.0,447.0,long,long,10,06,00
10:46:00,4243.0,547.0,long,long,10,46,00
10:31:00,4502.0,600.0,long,long,10,31,00
10:51:00,3711.0,503.0,long,long,10,51,00
10:33:00,3724.0,497.0,long,long,10,33,00
10:06:00,4243.0,572.0,long,long,10,06,00
10:57:00,4502.0,631.0,long,long,10,57,00
10:07:00,4243.0,558.0,long,long,10,07,00
10:27:00,3414.0,430.0,long,long,10,27,00
10:24:00,4184.0,541.0,long,long,10,24,00
10:59:00,3711.0,471.0,long,long,10,59,00
10:17:00,3711.0,495.0,long,long,10,17,00
10:07:00,3365.0,432.0,long,long,10,07,00
10:34:00,4502.0,568.0,long,long,10,34,00
10:57:00,4983.0,651.0,long,long,10,57,00
11:35:00,3329.0,468.0,long,long,11,35,00
11:13:00,3972.0,497.0,long,long,11,13,00
11:27:00,3365.0,429.0,long,long,11,27,00
11:49:00,3043.0,387.0,long,long,11,49,00
11:35:00,3414.0,442.0,long,long,11,35,00
11:31:00,3365.0,444.0,long,long,11,31,00
11:34:00,3414.0,444.0,long,long,11,34,00
11:08:00,4502.0,598.0,long,long,11,08,00
11:00:00,3724.0,531.0,long,long,11,00,00
11:31:00,3302.0,477.0,long,long,11,31,00
11:45:00,3329.0,448.0,long,long,11,45,00
11:04:00,3784.0,514.0,long,long,11,04,00
11:01:00,4502.0,612.0,long,long,11,01,00
11:18:00,3784.0,475.0,long,long,11,18,00
11:12:00,3784.0,501.0,long,long,11,12,00
11:14:00,4184.0,548.0,long,long,11,14,00
11:35:00,3302.0,449.0,long,long,11,35,00
11:55:00,3302.0,439.0,long,long,11,55,00
11:31:00,3302.0,463.0,long,long,11,31,00
11:53:00,3302.0,449.0,long,long,11,53,00
11:21:00,3784.0,461.0,long,long,11,21,00
11:44:00,3302.0,464.0,long,long,11,44,00
11:17:00,3784.0,482.0,long,long,11,17,00
11:30:00,3302.0,477.0,long,long,11,30,00
11:55:00,3329.0,439.0,long,long,11,55,00
11:08:00,3724.0,464.0,long,long,11,08,00
11:30:00,3365.0,461.0,long,long,11,30,00
11:46:00,3414.0,457.0,long,long,11,46,00
11:16:00,3972.0,497.0,long,long,11,16,00
11:18:00,3711.0,471.0,long,long,11,18,00
11:20:00,3711.0,486.0,long,long,11,20,00
11:06:00,3972.0,495.0,long,long,11,06,00
11:26:00,3365.0,419.0,long,long,11,26,00
11:35:00,3302.0,447.0,long,long,11,35,00
11:54:00,3302.0,477.0,long,long,11,54,00
11:15:00,3724.0,462.0,long,long,11,15,00
11:35:00,3414.0,451.0,long,long,11,35,00
11:28:00,3302.0,446.0,long,long,11,28,00
11:19:00,3972.0,515.0,long,long,11,19,00
11:17:00,3711.0,486.0,long,long,11,17,00
11:17:00,3784.0,492.0,long,long,11,17,00
11:07:00,3784.0,492.0,long,long,11,07,00
11:07:00,3711.0,468.0,long,long,11,07,00
11:33:00,4184.0,547.0,long,long,11,33,00
11:35:00,3302.0,437.0,long,long,11,35,00
11:46:00,3365.0,426.0,long,long,11,46,00
11:04:00,4502.0,554.0,long,long,11,04,00
11:51:00,3414.0,461.0,long,long,11,51,00
11:09:00,3784.0,484.0,long,long,11,09,00
11:18:00,3972.0,496.0,long,long,11,18,00
11:14:00,3784.0,494.0,long,long,11,14,00
11:10:00,3784.0,575.0,long,long,11,10,00
11:12:00,3784.0,503.0,long,long,11,12,00
11:19:00,3972.0,537.0,long,long,11,19,00
11:39:00,3414.0,486.0,long,long,11,39,00
11:20:00,3784.0,504.0,long,long,11,20,00
11:47:00,3414.0,441.0,long,long,11,47,00
11:40:00,3414.0,444.0,long,long,11,40,00
11:20:00,3724.0,499.0,long,long,11,20,00
11:15:00,3784.0,499.0,long,long,11,15,00
11:11:00,3972.0,503.0,long,long,11,11,00
11:09:00,3711.0,514.0,long,long,11,09,00
11:32:00,3784.0,448.0,long,long,11,32,00
11:28:00,3711.0,555.0,long,long,11,28,00
11:37:00,3414.0,451.0,long,long,11,37,00
11:48:00,3784.0,477.0,long,long,11,48,00
11:14:00,3784.0,507.0,long,long,11,14,00
11:09:00,3711.0,486.0,long,long,11,09,00
11:13:00,3784.0,509.0,long,long,11,13,00
11:51:00,3784.0,490.0,long,long,11,51,00
11:15:00,3972.0,529.0,long,long,11,15,00
11:27:00,3711.0,512.0,long,long,11,27,00
11:43:00,3329.0,433.0,long,long,11,43,00
11:12:00,3784.0,462.0,long,long,11,12,00
11:54:00,3302.0,415.0,long,long,11,54,00
11:26:00,4184.0,544.0,long,long,11,26,00
