Airport,dest_airport_count,dest_airport_percent,origin_airport_count,origin_airport_percent,total_airport_count,total_airport_percent
JNU,143,0.04,148,0.04,291,0.04
DAB,142,0.04,118,0.03,260,0.04
BMI,141,0.04,129,0.04,270,0.04
TTN,140,0.04,147,0.04,287,0.04
STT,137,0.04,104,0.03,241,0.04
AZO,136,0.04,159,0.05,295,0.04
BLI,133,0.04,139,0.04,272,0.04
CWA,132,0.04,118,0.03,250,0.04
MTJ,132,0.04,124,0.04,256,0.04
BRO,129,0.04,79,0.02,208,0.03
ITH,128,0.04,119,0.03,247,0.04
CMI,124,0.04,130,0.04,254,0.04
ACY,122,0.04,114,0.03,236,0.03
DLH,122,0.04,109,0.03,231,0.03
SWF,121,0.04,142,0.04,263,0.04
MLU,120,0.03,114,0.03,234,0.03
SGU,120,0.03,120,0.03,240,0.03
EWN,119,0.03,84,0.02,203,0.03
PAE,119,0.03,120,0.03,239,0.03
BQN,116,0.03,112,0.03,228,0.03
FSM,115,0.03,80,0.02,195,0.03
SAF,114,0.03,101,0.03,215,0.03
LRD,113,0.03,86,0.03,199,0.03
AEX,113,0.03,127,0.04,240,0.03
EGE,112,0.03,107,0.03,219,0.03
GTF,110,0.03,129,0.04,239,0.03
HLN,106,0.03,84,0.02,190,0.03
IDA,106,0.03,107,0.03,213,0.03
MOT,104,0.03,90,0.03,194,0.03
BFL,103,0.03,86,0.03,189,0.03
LYH,103,0.03,93,0.03,196,0.03
TOL,101,0.03,70,0.02,171,0.02
ABI,99,0.03,93,0.03,192,0.03
ERI,99,0.03,104,0.03,203,0.03
CLL,96,0.03,69,0.02,165,0.02
MBS,96,0.03,94,0.03,190,0.03
LNY,95,0.03,97,0.03,192,0.03
SPI,92,0.03,78,0.02,170,0.02
ELM,92,0.03,80,0.02,172,0.03
HHH,87,0.03,61,0.02,148,0.02
HDN,86,0.03,65,0.02,151,0.02
MLB,82,0.02,92,0.03,174,0.03
MHK,81,0.02,75,0.02,156,0.02
SBY,81,0.02,79,0.02,160,0.02
LCH,79,0.02,75,0.02,154,0.02
LSE,78,0.02,77,0.02,155,0.02
KTN,73,0.02,77,0.02,150,0.02
MQT,72,0.02,67,0.02,139,0.02
SUX,72,0.02,67,0.02,139,0.02
ACT,71,0.02,65,0.02,136,0.02
